File Name, LOG_XL500
Device Address, CA:24:1D:57:A1:AD
Sensor ID, CB-74-0B-26-8B
Modify Time, 2022-06-16 12:57:17
Is Saturate, not
Integration Time(ms), 11.706
Wavelength, 340, 345, 350, 355, 360, 365, 370, 375, 380, 385, 390, 395, 400, 405, 410, 415, 420, 425, 430, 435, 440, 445, 450, 455, 460, 465, 470, 475, 480, 485, 490, 495, 500, 505, 510, 515, 520, 525, 530, 535, 540, 545, 550, 555, 560, 565, 570, 575, 580, 585, 590, 595, 600, 605, 610, 615, 620, 625, 630, 635, 640, 645, 650, 655, 660, 665, 670, 675, 680, 685, 690, 695, 700, 705, 710, 715, 720, 725, 730, 735, 740, 745, 750, 755, 760, 765, 770, 775, 780, 785, 790, 795, 800, 805, 810, 815, 820, 825, 830, 835, 840, 845, 850, 855, 860, 865, 870, 875, 880, 885, 890, 895, 900, 905, 910, 915, 920, 925, 930, 935, 940, 945, 950, 955, 960, 965, 970, 975, 980, 985, 990, 995, 1000, 1005, 1010
Spectrum, 0.0, 0.0, 0.0, 0.00023443347890861332, 0.0007093023741617799, 0.0009787477320060134, 0.0008859882946126163, 0.0005322352517396212, 0.0001084324685507454, 0.0, 0.0, 6.200078246365592e-7, 0.0002855745260603726, 0.0005535762174986303, 0.0008022344554774463, 0.0009798317914828658, 0.0012784316204488277, 0.0018301211530342698, 0.002657403005287051, 0.0038178390823304653, 0.005180824548006058, 0.006611019838601351, 0.007804641500115395, 0.008618549443781376, 0.009005110710859299, 0.00895454827696085, 0.008660237304866314, 0.008295268751680851, 0.007999885827302933, 0.007829209789633751, 0.00782120879739523, 0.00801531970500946, 0.00835015531629324, 0.008800760842859745, 0.009314723312854767, 0.009851350449025631, 0.010368984192609787, 0.010831695981323719, 0.011246568523347378, 0.011597937904298306, 0.011897999793291092, 0.012242001481354237, 0.012640227563679218, 0.013066881336271763, 0.013453866355121136, 0.013733439147472382, 0.013862122781574726, 0.013866928406059742, 0.013854075223207474, 0.013879152946174145, 0.01405778992921114, 0.01440360490232706, 0.014905593357980251, 0.015560181811451912, 0.01629725471138954, 0.017048973590135574, 0.017742183059453964, 0.018301254138350487, 0.01869235374033451, 0.018941538408398628, 0.019091013818979263, 0.01916065253317356, 0.01912813074886799, 0.018926147371530533, 0.01849357597529888, 0.0177933257073164, 0.016815705224871635, 0.015639619901776314, 0.014350628480315208, 0.012986081652343273, 0.011607049964368343, 0.010304461233317852, 0.00921588484197855, 0.00837956927716732, 0.007765164133161306, 0.007232415955513716, 0.006656444165855646, 0.005924143362790346, 0.0050804405473172665, 0.004292371217161417, 0.00371145224198699, 0.0032982071861624718, 0.002925379667431116, 0.0024639421608299017, 0.0019181607058271766, 0.0014118050457909703, 0.0010367402574047446, 0.0008241699542850256, 0.0007519099744968116, 0.0007347969803959131, 0.0007806572248227894, 0.0008572780061513186, 0.0009251805604435503, 0.0009768641320988536, 0.00101490190718323, 0.0009916253620758653, 0.0009168079704977572, 0.0008683804771862924, 0.0008027424919418991, 0.0007197236991487443, 0.0006429439526982605, 0.0005647983052767813, 0.00045730924466624856, 0.00041028339182958007, 0.0003579737967811525, 0.0003051643434446305, 0.0002696924202609807, 0.00024648974067531526, 0.00022178849030751735, 0.00017635998665355146, 0.0001334551488980651, 0.00008132193033816293, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
PPFD Spectrum, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0009549612295813859, 0.0018742983229458332, 0.002749738749116659, 0.0033994284458458424, 0.004488829057663679, 0.006502420641481876, 0.009552832692861557, 0.013883953914046288, 0.019057145342230797, 0.024594316259026527, 0.0293610617518425, 0.03278324007987976, 0.034630052745342255, 0.034809909760951996, 0.03402780368924141, 0.03294051066040993, 0.032101940363645554, 0.03174431249499321, 0.03203880041837692, 0.03316899761557579, 0.03490364924073219, 0.03715505078434944, 0.039714254438877106, 0.04241400584578514, 0.045076049864292145, 0.04754031449556351, 0.04983129724860191, 0.05187293887138367, 0.053712330758571625, 0.05577700585126877, 0.0581197664141655, 0.06062771752476692, 0.0629856213927269, 0.06486852467060089, 0.0660557895898819, 0.06665832549333572, 0.06717564165592194, 0.0678773820400238, 0.06933864206075668, 0.07164641469717026, 0.07476645708084106, 0.07870028913021088, 0.08310948312282562, 0.08765559643507004, 0.09196127951145172, 0.09562405198812485, 0.09844888746738434, 0.10055305063724518, 0.10214456170797348, 0.10331807285547256, 0.10394226014614105, 0.10363579541444778, 0.10204015672206879, 0.09892021864652634, 0.0941881313920021, 0.08825437724590302, 0.08158045262098312, 0.07436609268188477, 0.066954106092453, 0.05987098067998886, 0.05393135920166969, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Photopic Lux, 933
Cyanopic Lux, 448
